# frame t_err(m) r_err(deg) dx dy dz
363 0.111712 1.663859 -0.027749 -0.012459 -0.107491
364 0.113417 1.698846 -0.005728 -0.026296 -0.110178
365 0.118352 1.563645 -0.025458 -0.002417 -0.115556
366 0.110862 1.692895 -0.042056 0.020232 -0.100560
367 0.115935 1.513206 -0.069567 0.022205 -0.090045
368 0.116361 1.250986 -0.069725 0.005262 -0.093009
369 0.107876 1.198932 -0.060037 -0.021116 -0.087102
370 0.093203 0.929298 -0.021086 -0.028165 -0.086307
371 0.090186 1.020866 -0.024520 -0.019424 -0.084588
372 0.095072 1.076602 -0.019277 -0.026012 -0.089389
373 0.123806 0.878018 -0.063649 -0.018455 -0.104576
374 0.125372 0.914998 -0.060167 -0.018615 -0.108404
375 0.120224 0.833363 -0.066004 -0.012430 -0.099713
376 0.099051 0.925852 -0.040762 -0.015189 -0.088988
377 0.097943 0.869112 -0.041493 -0.022837 -0.085730
378 0.109865 0.851240 -0.043869 -0.013144 -0.099866
379 0.106806 1.017032 -0.043815 -0.012822 -0.096557
380 0.104651 0.958743 -0.050541 -0.016016 -0.090227
381 0.102258 0.885784 -0.042557 -0.030788 -0.087737
382 0.108915 0.785340 -0.034282 -0.018631 -0.101686
383 0.109309 1.022418 -0.027976 -0.008341 -0.105339
384 0.104625 1.081868 -0.036757 -0.003401 -0.097896
385 0.088332 1.127625 -0.021386 -0.021248 -0.083028
386 0.094042 1.073732 -0.005410 -0.038580 -0.085593
387 0.111619 0.906795 -0.023925 -0.025038 -0.106111
388 0.125801 1.116192 -0.051268 0.017529 -0.113535
389 0.140034 1.234166 -0.086002 0.033533 -0.105302
390 0.113843 1.474188 -0.055711 0.001943 -0.099261
391 0.110039 1.521213 0.003710 -0.043598 -0.100965
392 0.137978 1.285599 0.042508 -0.074594 -0.108013
393 0.127233 1.061370 0.017320 -0.049373 -0.115977
394 0.111093 0.839878 -0.013697 -0.016893 -0.108944
395 0.129303 0.763377 -0.053472 0.010555 -0.117255
396 0.129576 0.883977 -0.038918 0.002943 -0.123558
397 0.123773 0.983101 -0.015094 -0.015802 -0.121829
398 0.122219 0.868329 -0.007746 -0.033715 -0.117221
399 0.122243 0.824770 -0.029926 -0.018098 -0.117133
400 0.134689 0.728866 -0.026449 -0.011820 -0.131536
401 0.152749 0.772492 -0.047945 0.009224 -0.144735
402 0.174156 0.573876 -0.047351 -0.003367 -0.167561
403 0.186367 0.790266 -0.053415 0.002957 -0.178524
404 0.142477 1.085398 -0.018562 -0.018216 -0.140083
405 0.048795 1.540629 0.008061 -0.025086 -0.041068
406 0.034691 1.341430 0.000770 -0.031537 -0.014433
407 0.044610 1.081265 -0.026314 -0.017070 -0.031721
408 0.056968 1.101858 -0.026402 -0.018226 -0.047075
409 0.044606 1.133692 -0.006919 -0.005370 -0.043738
410 0.031994 1.299641 0.016655 -0.008139 -0.026077
411 0.040056 1.501008 0.031696 -0.015111 0.019274
412 0.082626 1.634100 0.051359 -0.035619 0.054043
413 0.115060 1.939589 0.060995 -0.037666 0.089999
414 0.099403 1.674831 0.052360 -0.017103 0.082746
415 0.028199 1.169861 0.019884 -0.016418 -0.011413
416 0.101644 0.963317 0.015342 -0.007501 -0.100199
417 0.156250 0.741340 -0.000872 -0.014801 -0.155545
418 0.138844 0.899522 -0.016425 -0.006101 -0.137734
419 0.058000 1.153296 0.001863 -0.009984 -0.057104
420 0.033126 1.235180 0.024398 -0.018205 -0.013062
421 0.050463 1.435526 0.040851 -0.026954 -0.012296
422 0.072500 1.390024 0.053268 -0.029066 -0.039672
423 0.045879 1.660386 0.031909 0.003002 -0.032828
